Student_ID,Student_Name,Batch,Semester,Year,Mid1,Mid2,Internals,EndTerm,Attendance,Total_Marks,SGPA,Performance_Type
S0001,Neha Pal,2018,1,2018,5.39,7.29,8.88,58.08,73.8,50.6,4.93,Low_Performer
S0001,Neha Pal,2018,2,2018,7.01,7.03,13.11,55.69,68.9,55.0,5.38,Low_Performer
S0001,Neha Pal,2018,3,2019,7.35,6.11,8.07,60.64,68.3,51.86,4.94,Low_Performer
S0001,Neha Pal,2018,4,2019,5.82,5.71,8.71,52.67,72.9,46.57,4.92,Low_Performer
S0001,Neha Pal,2018,5,2020,6.63,4.54,8.52,60.58,71.2,49.98,4.86,Low_Performer
S0001,Neha Pal,2018,6,2020,5.97,7.8,7.73,70.91,67.8,56.95,5.59,Low_Performer
S0001,Neha Pal,2018,7,2021,7.88,6.74,9.94,69.03,71.0,59.08,6.17,Low_Performer
S0001,Neha Pal,2018,8,2021,4.18,5.6,7.87,49.75,69.6,42.53,4.46,Low_Performer
S0002,Ishita Pal,2018,1,2018,7.75,8.04,12.04,84.47,81.8,70.06,6.65,Average
S0002,Ishita Pal,2018,2,2018,8.64,8.61,13.24,75.05,81.2,68.02,6.77,Average
S0002,Ishita Pal,2018,3,2019,5.71,5.83,9.24,77.69,77.6,59.62,6.08,Average
S0002,Ishita Pal,2018,4,2019,7.54,5.87,9.9,66.77,75.6,56.69,5.38,Average
S0002,Ishita Pal,2018,5,2020,8.36,7.52,10.01,83.53,77.9,67.66,6.79,Average
S0002,Ishita Pal,2018,6,2020,9.87,8.03,10.86,80.25,77.2,68.88,6.94,Average
S0002,Ishita Pal,2018,7,2021,9.57,10.68,12.04,89.0,80.1,76.79,7.49,Average
S0002,Ishita Pal,2018,8,2021,8.16,7.3,9.08,76.34,75.6,62.72,5.97,Average
S0003,Vikram Basu,2018,1,2018,9.14,7.99,15.59,100.0,92.7,82.72,8.03,Average
S0003,Vikram Basu,2018,2,2018,9.57,8.66,12.51,80.21,83.0,70.84,6.77,Average
S0003,Vikram Basu,2018,3,2019,9.87,8.23,13.63,71.6,78.0,67.54,6.6,Average
S0003,Vikram Basu,2018,4,2019,7.96,9.62,11.81,87.52,80.0,73.14,7.59,Average
S0003,Vikram Basu,2018,5,2020,7.99,7.09,9.48,76.62,86.2,62.87,5.9,Average
S0003,Vikram Basu,2018,6,2020,8.61,9.02,15.06,80.17,85.4,72.77,7.34,Average
S0003,Vikram Basu,2018,7,2021,10.6,9.25,11.76,87.84,83.1,75.52,7.14,Average
S0003,Vikram Basu,2018,8,2021,8.72,10.57,12.0,89.21,91.3,75.9,7.32,Average
S0004,Rakesh Basu,2018,1,2018,9.69,8.37,13.39,75.12,74.8,69.01,6.29,Average
S0004,Rakesh Basu,2018,2,2018,6.3,6.84,12.14,69.06,74.6,59.81,5.58,Average
S0004,Rakesh Basu,2018,3,2019,8.51,8.04,13.26,65.46,75.0,62.55,6.21,Average
S0004,Rakesh Basu,2018,4,2019,6.33,7.5,11.46,72.96,72.1,61.77,6.93,Average
S0004,Rakesh Basu,2018,5,2020,5.82,6.72,11.42,58.88,82.4,53.4,5.12,Average
S0004,Rakesh Basu,2018,6,2020,5.72,6.25,8.86,71.36,72.2,56.5,5.62,Average
S0004,Rakesh Basu,2018,7,2021,7.15,7.34,15.42,80.84,67.8,70.33,7.9,Average
S0004,Rakesh Basu,2018,8,2021,9.99,7.28,12.03,79.14,70.2,68.87,7.12,Average
S0005,Pallavi Paul,2018,1,2018,7.08,7.58,10.19,72.76,74.5,61.23,6.26,Average
S0005,Pallavi Paul,2018,2,2018,8.28,8.23,11.26,81.62,79.0,68.59,6.95,Average
S0005,Pallavi Paul,2018,3,2019,10.21,9.06,13.07,99.05,74.6,81.86,8.54,Average
